2024-10-24 12:41:20: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 12:41:25: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 13:16:02: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 13:15:53')
2024-10-24 13:16:07: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 13:15:53')
2024-10-24 13:16:12: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 13:15:53')
2024-10-24 13:16:17: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 13:15:53')
2024-10-24 13:19:25: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 13:19:30: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 13:19:35: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 13:19:40: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 14:36:51: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 14:36:56: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 14:37:01: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 14:37:06: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 13:19:16')
2024-10-24 14:53:04: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 14:52:55')
2024-10-24 14:53:09: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 14:52:55')
2024-10-24 14:53:14: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 14:52:55')
2024-10-24 14:53:19: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 14:52:55')
2024-10-24 14:54:53: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 14:54:44')
2024-10-24 14:54:58: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 14:54:44')
2024-10-24 14:55:03: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 14:54:44')
2024-10-24 14:55:08: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 14:54:44')
